Gene	MappedGene	Source
Soltu.DM.01G019050	-	-
Soltu.DM.01G019060	DM8.2_chr01G15460	synteny
Soltu.DM.01G019080	DM8.2_chr01G15480	synteny
Soltu.DM.01G019090	DM8.2_chr01G15510	synteny
Soltu.DM.01G019100	DM8.2_chr01G15520	synteny
Soltu.DM.01G019110	-	-
Soltu.DM.01G019120	-	-
Soltu.DM.01G019130	-	-
Soltu.DM.01G019140	DM8.2_chr01G15530	synteny
Soltu.DM.01G019150	-	-
Soltu.DM.01G019170	-	-
Soltu.DM.01G019180	-	-
Soltu.DM.01G019200	DM8.2_chr01G15560	synteny
Soltu.DM.01G019210	-	-
Soltu.DM.01G019220	-	-
Soltu.DM.01G019290	DM8.2_chr01G15730	synteny
Soltu.DM.01G019330	DM8.2_chr01G15760	synteny
Soltu.DM.01G019340	-	-
Soltu.DM.01G019360	DM8.2_chr01G15770	synteny
Soltu.DM.01G019370	DM8.2_chr01G15780	synteny
Soltu.DM.01G019390	DM8.2_chr01G15790	synteny
Soltu.DM.01G019400	DM8.2_chr01G15800	synteny
Soltu.DM.01G019410	-	-
Soltu.DM.01G019440	DM8.2_chr01G15830	synteny
Soltu.DM.01G019500	DM8.2_chr01G15860	synteny
Soltu.DM.01G019510	DM8.2_chr01G15870	synteny
Soltu.DM.01G019520	DM8.2_chr01G15880	synteny
Soltu.DM.01G019550	DM8.2_chr01G15890	synteny
Soltu.DM.01G019580	DM8.2_chr01G15960	synteny
Soltu.DM.01G019590	-	-
Soltu.DM.01G019610	DM8.2_chr01G15930	synteny
Soltu.DM.01G019630	-	-
Soltu.DM.01G019650	-	-
Soltu.DM.01G019660	-	-
Soltu.DM.01G019670	-	-
Soltu.DM.01G019680	DM8.2_chr01G15990	synteny
Soltu.DM.01G019690	DM8.2_chr01G16000	synteny
Soltu.DM.01G019700	-	-
Soltu.DM.01G019710	DM8.2_chr01G16010	synteny
Soltu.DM.01G019720	-	-
Soltu.DM.01G019730	-	-
Soltu.DM.01G019750	DM8.2_chr01G16040	synteny
Soltu.DM.01G019770	DM8.2_chr01G16060	synteny
Soltu.DM.01G019780	DM8.2_chr01G16070	synteny
Soltu.DM.01G019790	DM8.2_chr01G16080	synteny
Soltu.DM.01G019800	DM8.2_chr01G16090	synteny
Soltu.DM.01G019810	DM8.2_chr01G16100	synteny
Soltu.DM.01G019820	-	-
Soltu.DM.01G019830	DM8.2_chr01G16120	synteny
Soltu.DM.01G019850	DM8.2_chr01G16140	synteny
Soltu.DM.01G019860	DM8.2_chr01G16160	synteny
Soltu.DM.01G019870	DM8.2_chr01G16180	synteny
Soltu.DM.01G019880	-	-
Soltu.DM.01G019890	DM8.2_chr01G16190	synteny
Soltu.DM.01G019900	-	-
Soltu.DM.01G019910	-	-
Soltu.DM.01G019920	-	-
Soltu.DM.01G019930	-	-
Soltu.DM.01G019940	DM8.2_chr01G16210	synteny
Soltu.DM.01G019950	DM8.2_chr01G16220	synteny
Soltu.DM.01G019960	DM8.2_chr01G16230	synteny
Soltu.DM.01G019970	-	-
Soltu.DM.01G019980	-	-
Soltu.DM.01G019990	DM8.2_chr01G16250	synteny
Soltu.DM.01G020010	DM8.2_chr01G16280	synteny
Soltu.DM.01G020020	DM8.2_chr01G16290	synteny
Soltu.DM.01G020030	DM8.2_chr01G16300	synteny
Soltu.DM.01G020040	DM8.2_chr01G16310	synteny
Soltu.DM.01G020050	DM8.2_chr01G16320	synteny
Soltu.DM.01G020170	DM8.2_chr01G16390	synteny
Soltu.DM.01G020180	DM8.2_chr01G16380	synteny
Soltu.DM.01G020190	DM8.2_chr01G16370	synteny
Soltu.DM.01G020210	DM8.2_chr01G16360	synteny
Soltu.DM.01G020220	DM8.2_chr01G16350	synteny
Soltu.DM.01G020260	DM8.2_chr01G16450	synteny
Soltu.DM.01G020270	-	-
Soltu.DM.01G020280	DM8.2_chr01G16460	synteny
Soltu.DM.01G020290	DM8.2_chr01G16490	synteny
Soltu.DM.01G020300	DM8.2_chr01G16500	synteny
Soltu.DM.01G020310	DM8.2_chr01G16510	synteny
Soltu.DM.01G020330	DM8.2_chr01G16540	synteny
Soltu.DM.01G020340	DM8.2_chr01G16550	synteny
Soltu.DM.01G020350	DM8.2_chr01G16570	synteny
Soltu.DM.01G020370	DM8.2_chr01G16600	synteny
Soltu.DM.01G020380	DM8.2_chr01G16610	synteny
Soltu.DM.01G020440	DM8.2_chr01G16660	synteny
Soltu.DM.01G020460	DM8.2_chr01G16670	synteny
Soltu.DM.01G020470	DM8.2_chr01G16680	synteny
Soltu.DM.01G020480	DM8.2_chr01G16690	synteny
Soltu.DM.01G020490	-	-
Soltu.DM.01G020510	-	-
Soltu.DM.01G020520	DM8.2_chr01G16720	synteny
Soltu.DM.01G020530	-	-
Soltu.DM.01G020550	-	-
Soltu.DM.01G020560	-	-
Soltu.DM.01G020570	DM8.2_chr01G16730	synteny
Soltu.DM.01G020580	DM8.2_chr01G16700	synteny
Soltu.DM.01G020600	DM8.2_chr01G16750	synteny
Soltu.DM.01G020620	-	-
Soltu.DM.01G020640	-	-
Soltu.DM.01G020660	DM8.2_chr01G16770	synteny
Soltu.DM.01G020680	DM8.2_chr01G16780	synteny
Soltu.DM.01G020690	-	-
Soltu.DM.01G020710	-	-
Soltu.DM.01G020720	-	-
Soltu.DM.01G020750	DM8.2_chr01G16840	synteny
Soltu.DM.01G020760	DM8.2_chr01G16820	synteny
Soltu.DM.01G020830	DM8.2_chr01G16950	synteny
Soltu.DM.01G020840	DM8.2_chr01G16960	synteny
Soltu.DM.01G020850	-	-
Soltu.DM.01G020860	-	-
Soltu.DM.01G020870	DM8.2_chr01G16980	synteny
Soltu.DM.01G020880	DM8.2_chr01G16990	synteny
Soltu.DM.01G020890	DM8.2_chr01G17010	synteny
Soltu.DM.01G020900	DM8.2_chr01G17020	synteny
Soltu.DM.01G020950	DM8.2_chr01G17140	synteny
Soltu.DM.01G020960	DM8.2_chr01G17160	synteny
Soltu.DM.01G020970	-	-
Soltu.DM.01G020990	-	-
Soltu.DM.01G021050	DM8.2_chr01G17240	synteny
Soltu.DM.01G021070	-	-
Soltu.DM.01G021090	DM8.2_chr01G17270	synteny
Soltu.DM.01G021100	DM8.2_chr01G17280	synteny
Soltu.DM.01G021120	-	-
Soltu.DM.01G021140	DM8.2_chr02G04120	(identity: 90.0%)
Soltu.DM.01G021150	DM8.2_chr01G17390	synteny
Soltu.DM.01G021170	-	-
Soltu.DM.01G021180	DM8.2_chr01G17440	synteny
Soltu.DM.01G021190	-	-
Soltu.DM.01G021220	DM8.2_chr01G17480	synteny
Soltu.DM.01G021250	-	-
Soltu.DM.01G021260	DM8.2_chr01G17500	synteny
Soltu.DM.01G021270	DM8.2_chr01G17510	synteny
Soltu.DM.01G021290	-	-
Soltu.DM.01G021380	DM8.2_chr01G17600	synteny
Soltu.DM.01G021390	DM8.2_chr01G17610	synteny
Soltu.DM.01G021400	-	-
Soltu.DM.01G021410	DM8.2_chr01G17630	synteny
Soltu.DM.01G021430	DM8.2_chr01G17650	synteny
Soltu.DM.01G021450	DM8.2_chr01G17670	synteny
Soltu.DM.01G021460	DM8.2_chr01G17680	synteny
Soltu.DM.01G021470	DM8.2_chr01G17690	synteny
Soltu.DM.01G021480	DM8.2_chr01G17700	synteny
Soltu.DM.01G021490	DM8.2_chr01G17710	synteny
Soltu.DM.01G021500	DM8.2_chr01G17720	synteny
Soltu.DM.01G021510	DM8.2_chr01G17730	synteny
Soltu.DM.01G021530	-	-
Soltu.DM.01G021550	DM8.2_chr01G17760	synteny
Soltu.DM.01G021570	DM8.2_chr01G17770	synteny
Soltu.DM.01G021580	DM8.2_chr01G17780	synteny
Soltu.DM.01G021590	DM8.2_chr01G17790	synteny
Soltu.DM.01G021600	DM8.2_chr01G17800	synteny
Soltu.DM.01G021620	DM8.2_chr01G17840	synteny
Soltu.DM.01G021630	-	-
Soltu.DM.01G021640	DM8.2_chr01G17860	synteny
Soltu.DM.01G021660	DM8.2_chr11G12380	(identity: 95.54%)
Soltu.DM.01G021670	DM8.2_chr01G17900	synteny
Soltu.DM.01G021680	-	-
Soltu.DM.01G021690	DM8.2_chr01G17910	synteny
Soltu.DM.01G021700	DM8.2_chr01G17920	synteny
Soltu.DM.01G021720	DM8.2_chr01G17940	synteny
Soltu.DM.01G021730	DM8.2_chr01G17950	synteny
Soltu.DM.01G021740	DM8.2_chr01G17960	synteny
Soltu.DM.01G021750	-	-
Soltu.DM.01G021770	DM8.2_chr01G17990	synteny
Soltu.DM.01G021780	DM8.2_chr01G18000	synteny
Soltu.DM.01G021790	DM8.2_chr01G18010	synteny
Soltu.DM.01G021800	-	-
Soltu.DM.01G021810	DM8.2_chr01G18020	synteny
Soltu.DM.01G021820	DM8.2_chr01G18030	synteny
Soltu.DM.01G021840	DM8.2_chr01G18050	synteny
Soltu.DM.01G021850	DM8.2_chr01G18070	synteny
Soltu.DM.01G021860	DM8.2_chr01G18080	synteny
Soltu.DM.01G021870	DM8.2_chr01G18090	synteny
Soltu.DM.01G021880	DM8.2_chr01G18100	synteny
Soltu.DM.01G021890	DM8.2_chr01G18110	synteny
Soltu.DM.01G021900	DM8.2_chr01G18120	synteny
Soltu.DM.01G021910	DM8.2_chr01G18130	synteny
Soltu.DM.01G021920	DM8.2_chr01G18140	synteny
Soltu.DM.01G021930	-	-
Soltu.DM.01G021950	DM8.2_chr01G18160	synteny
Soltu.DM.01G021960	-	-
Soltu.DM.01G021970	DM8.2_chr01G18180	synteny
Soltu.DM.01G021980	DM8.2_chr01G18190	synteny
Soltu.DM.01G021990	-	-
Soltu.DM.01G022000	DM8.2_chr01G18200	synteny
Soltu.DM.01G022010	DM8.2_chr01G18220	synteny
Soltu.DM.01G022020	DM8.2_chr01G18240	synteny
Soltu.DM.01G022030	DM8.2_chr01G18250	synteny
Soltu.DM.01G022040	DM8.2_chr01G18260	synteny
Soltu.DM.01G022050	-	-
Soltu.DM.01G022060	DM8.2_chr01G18270	synteny
Soltu.DM.01G022070	DM8.2_chr01G18300	synteny
Soltu.DM.01G022080	DM8.2_chr01G18360	synteny
Soltu.DM.01G022090	DM8.2_chr01G18330	synteny
Soltu.DM.01G022100	-	-
Soltu.DM.01G022110	DM8.2_chr01G18350	synteny
Soltu.DM.01G022120	-	-
Soltu.DM.01G022150	-	-
Soltu.DM.01G022170	-	-
Soltu.DM.01G022180	DM8.2_chr01G18370	synteny
Soltu.DM.01G022190	DM8.2_chr01G18380	synteny
Soltu.DM.01G022200	DM8.2_chr01G18390	synteny
Soltu.DM.01G022210	DM8.2_chr01G18400	synteny
Soltu.DM.01G022220	DM8.2_chr01G18410	synteny
Soltu.DM.01G022230	DM8.2_chr01G18420	synteny
Soltu.DM.01G022250	DM8.2_chr01G18430	synteny
Soltu.DM.01G022260	DM8.2_chr01G18440	synteny
Soltu.DM.01G022270	DM8.2_chr01G18450	synteny
Soltu.DM.01G022280	DM8.2_chr01G18460	synteny
Soltu.DM.01G022290	DM8.2_chr01G18470	synteny
Soltu.DM.01G022300	DM8.2_chr01G18480	synteny
Soltu.DM.01G022310	-	-
Soltu.DM.01G022320	DM8.2_chr01G18490	synteny
Soltu.DM.01G022330	DM8.2_chr01G18500	synteny
Soltu.DM.01G022350	DM8.2_chr01G18510	synteny
Soltu.DM.01G022360	DM8.2_chr01G18520	synteny
Soltu.DM.01G022370	-	-
Soltu.DM.01G022380	DM8.2_chr01G18540	synteny
Soltu.DM.01G022390	DM8.2_chr01G18560	synteny
Soltu.DM.01G022400	DM8.2_chr01G18580	synteny
Soltu.DM.01G022410	DM8.2_chr01G18590	synteny
Soltu.DM.01G022430	-	-
Soltu.DM.01G022440	DM8.2_chr01G18600	synteny
Soltu.DM.01G022450	DM8.2_chr01G18610	synteny
Soltu.DM.01G022460	-	-
Soltu.DM.01G022480	-	-
Soltu.DM.01G022490	DM8.2_chr01G18690	synteny
Soltu.DM.01G022500	DM8.2_chr01G18710	synteny
Soltu.DM.01G022510	DM8.2_chr01G18720	synteny
Soltu.DM.01G022520	DM8.2_chr01G18730	synteny
Soltu.DM.01G022530	DM8.2_chr01G18740	synteny
Soltu.DM.01G022540	DM8.2_chr01G18750	synteny
Soltu.DM.01G022550	DM8.2_chr01G18780	synteny
Soltu.DM.01G022560	DM8.2_chr01G18790	synteny
Soltu.DM.01G022570	DM8.2_chr01G18800	synteny
Soltu.DM.01G022580	DM8.2_chr01G18810	synteny
Soltu.DM.01G022590	DM8.2_chr01G18820	synteny
Soltu.DM.01G022600	DM8.2_chr01G18830	synteny
Soltu.DM.01G022630	DM8.2_chr01G18840	synteny
Soltu.DM.01G022640	DM8.2_chr01G18850	synteny
Soltu.DM.01G022650	DM8.2_chr01G18860	synteny
Soltu.DM.01G022660	-	-
Soltu.DM.01G022690	DM8.2_chr01G18870	synteny
Soltu.DM.01G022700	DM8.2_chr01G18880	synteny
Soltu.DM.01G022710	-	-
Soltu.DM.01G022720	DM8.2_chr01G18900	synteny
Soltu.DM.01G022730	DM8.2_chr01G18910	synteny
Soltu.DM.01G022740	-	-
Soltu.DM.01G022750	-	-
Soltu.DM.01G022760	-	-
Soltu.DM.01G022770	-	-
Soltu.DM.01G022780	DM8.2_chr01G18920	synteny
Soltu.DM.01G022790	DM8.2_chr01G18930	synteny
Soltu.DM.01G022800	DM8.2_chr01G18940	synteny
Soltu.DM.01G022810	DM8.2_chr01G18970	synteny
Soltu.DM.01G022840	DM8.2_chr01G18990	synteny
Soltu.DM.01G022850	DM8.2_chr01G19000	synteny
Soltu.DM.01G022860	DM8.2_chr01G19010	synteny
Soltu.DM.01G022870	-	-
Soltu.DM.01G022880	DM8.2_chr01G19020	synteny
Soltu.DM.01G022890	DM8.2_chr01G19030	synteny
Soltu.DM.01G022900	-	-
Soltu.DM.01G022910	DM8.2_chr01G19050	synteny
Soltu.DM.01G022920	DM8.2_chr01G19060	synteny
Soltu.DM.01G022930	DM8.2_chr01G19080	synteny
Soltu.DM.01G022940	DM8.2_chr01G19090	synteny
Soltu.DM.01G022960	DM8.2_chr01G19120	synteny
Soltu.DM.01G023000	DM8.2_chr01G19160	synteny
Soltu.DM.01G023010	-	-
Soltu.DM.01G023020	-	-
Soltu.DM.01G023030	-	-
Soltu.DM.01G023040	DM8.2_chr01G19200	synteny
Soltu.DM.01G023050	DM8.2_chr01G19210	synteny
Soltu.DM.01G023060	DM8.2_chr01G19220	synteny
Soltu.DM.01G023070	-	-
Soltu.DM.01G023090	-	-
Soltu.DM.01G023100	-	-
Soltu.DM.01G023110	DM8.2_chr01G19230	synteny
Soltu.DM.01G023130	-	-
Soltu.DM.01G023140	DM8.2_chr01G19260	synteny
Soltu.DM.01G023150	DM8.2_chr01G19270	synteny
Soltu.DM.01G023160	DM8.2_chr01G19290	synteny
Soltu.DM.01G023170	DM8.2_chr01G19300	synteny
Soltu.DM.01G023180	DM8.2_chr01G19310	synteny
Soltu.DM.01G023200	DM8.2_chr01G19320	synteny
Soltu.DM.01G023210	DM8.2_chr01G19330	synteny
Soltu.DM.01G023220	DM8.2_chr01G19340	synteny
Soltu.DM.01G023230	DM8.2_chr01G19350	synteny
Soltu.DM.01G023240	DM8.2_chr01G19360	synteny
Soltu.DM.01G023270	DM8.2_chr01G19390	synteny
Soltu.DM.01G023290	DM8.2_chr01G19410	synteny
Soltu.DM.01G023300	DM8.2_chr01G19430	synteny
Soltu.DM.01G023310	-	-
Soltu.DM.01G023320	DM8.2_chr01G19450	synteny
Soltu.DM.01G023330	DM8.2_chr01G19460	synteny
Soltu.DM.01G023350	DM8.2_chr01G19470	synteny
Soltu.DM.01G023360	-	-
Soltu.DM.01G023390	DM8.2_chr01G19500	synteny
Soltu.DM.01G023400	DM8.2_chr01G19510	synteny
Soltu.DM.01G023410	-	-
Soltu.DM.01G023430	-	-
Soltu.DM.01G023440	DM8.2_chr01G19540	synteny
Soltu.DM.01G023450	DM8.2_chr01G19550	synteny
Soltu.DM.01G023460	DM8.2_chr01G19560	synteny
Soltu.DM.01G023470	DM8.2_chr01G19570	synteny
Soltu.DM.01G023480	DM8.2_chr01G19580	synteny
Soltu.DM.01G023490	DM8.2_chr01G19590	synteny
Soltu.DM.01G023500	DM8.2_chr01G19600	synteny
Soltu.DM.01G023510	DM8.2_chr01G19610	synteny
Soltu.DM.01G023520	DM8.2_chr01G19620	synteny
Soltu.DM.01G023530	DM8.2_chr01G19630	synteny
Soltu.DM.01G023540	DM8.2_chr01G19640	synteny
Soltu.DM.01G023550	DM8.2_chr01G19650	synteny
Soltu.DM.01G023560	DM8.2_chr01G19660	synteny
Soltu.DM.01G023570	DM8.2_chr01G19670	synteny
Soltu.DM.01G023580	-	-
Soltu.DM.01G023590	DM8.2_chr01G19680	synteny
Soltu.DM.01G023600	DM8.2_chr01G19700	synteny
Soltu.DM.01G023610	DM8.2_chr01G19710	synteny
Soltu.DM.01G023620	DM8.2_chr01G19720	synteny
Soltu.DM.01G023630	DM8.2_chr01G19740	synteny
Soltu.DM.01G023640	DM8.2_chr01G19760	synteny
Soltu.DM.01G023650	DM8.2_chr01G19750	synteny
Soltu.DM.01G023660	-	-
Soltu.DM.01G023710	DM8.2_chr01G19820	synteny
Soltu.DM.01G023720	DM8.2_chr01G19830	synteny
Soltu.DM.01G023730	DM8.2_chr01G19840	synteny
Soltu.DM.01G023750	DM8.2_chr01G19850	synteny
Soltu.DM.01G023760	DM8.2_chr01G19860	synteny
Soltu.DM.01G023770	DM8.2_chr01G19890	synteny
Soltu.DM.01G023780	-	-
Soltu.DM.01G023790	DM8.2_chr01G19900	synteny
Soltu.DM.01G023800	DM8.2_chr01G19910	synteny
Soltu.DM.01G023810	DM8.2_chr01G19920	synteny
Soltu.DM.01G023820	DM8.2_chr01G19930	synteny
Soltu.DM.01G023840	DM8.2_chr01G19950	synteny
Soltu.DM.01G023850	DM8.2_chr01G19960	synteny
Soltu.DM.01G023860	DM8.2_chr01G19970	synteny
Soltu.DM.01G023870	DM8.2_chr01G19980	synteny
Soltu.DM.01G023880	DM8.2_chr01G19990	synteny
Soltu.DM.01G023890	DM8.2_chr01G20000	synteny
Soltu.DM.01G023900	DM8.2_chr01G20010	synteny
Soltu.DM.01G023910	DM8.2_chr01G20040	synteny
Soltu.DM.01G023920	DM8.2_chr01G20050	synteny
Soltu.DM.01G023930	DM8.2_chr01G20060	synteny
Soltu.DM.01G023940	-	-
Soltu.DM.01G023950	DM8.2_chr01G20070	synteny
Soltu.DM.01G023960	-	-
Soltu.DM.01G023970	DM8.2_chr01G20090	synteny
Soltu.DM.01G023980	DM8.2_chr01G20100	synteny
Soltu.DM.01G023990	-	-
Soltu.DM.01G024000	-	-
Soltu.DM.01G024010	DM8.2_chr01G20110	synteny
Soltu.DM.01G024020	DM8.2_chr01G20120	synteny
Soltu.DM.01G024030	DM8.2_chr01G20130	synteny
Soltu.DM.01G024050	DM8.2_chr01G20150	synteny
Soltu.DM.01G024060	DM8.2_chr01G20160	synteny
Soltu.DM.01G024070	-	-
Soltu.DM.01G024080	DM8.2_chr01G20170	synteny
Soltu.DM.01G024100	DM8.2_chr01G20190	synteny
Soltu.DM.01G024110	DM8.2_chr01G20200	synteny
Soltu.DM.01G024120	DM8.2_chr01G20210	synteny
Soltu.DM.01G024140	-	-
Soltu.DM.01G024150	-	-
Soltu.DM.01G024160	DM8.2_chr01G20250	synteny
Soltu.DM.01G024170	-	-
Soltu.DM.01G024180	DM8.2_chr01G20270	synteny
Soltu.DM.01G024190	-	-
Soltu.DM.01G024200	-	-
Soltu.DM.01G024210	-	-
Soltu.DM.01G024220	-	-
Soltu.DM.01G024240	DM8.2_chr01G20340	synteny
Soltu.DM.01G024250	-	-
Soltu.DM.01G024260	-	-
Soltu.DM.01G024270	-	-
Soltu.DM.01G024280	-	-
Soltu.DM.01G024290	DM8.2_chr01G20350	synteny
Soltu.DM.01G024300	DM8.2_chr01G20360	synteny
Soltu.DM.01G024310	DM8.2_chr01G20380	synteny
Soltu.DM.01G024330	-	-
Soltu.DM.01G024340	-	-
Soltu.DM.01G024350	DM8.2_chr01G20410	synteny
Soltu.DM.01G024370	DM8.2_chr01G20420	synteny
Soltu.DM.01G024380	DM8.2_chr01G20430	synteny
Soltu.DM.01G024400	DM8.2_chr01G20460	synteny
Soltu.DM.01G024420	DM8.2_chr01G20480	synteny
Soltu.DM.01G024430	DM8.2_chr01G20490	synteny
Soltu.DM.01G024440	DM8.2_chr01G20500	synteny
Soltu.DM.01G024450	DM8.2_chr01G20510	synteny
Soltu.DM.01G024460	DM8.2_chr01G20520	synteny
Soltu.DM.01G024470	DM8.2_chr01G20530	synteny
Soltu.DM.01G024480	-	-
Soltu.DM.01G024490	DM8.2_chr01G20540	synteny
Soltu.DM.01G024500	DM8.2_chr01G20550	synteny
Soltu.DM.01G024510	DM8.2_chr01G20560	synteny
Soltu.DM.01G024520	DM8.2_chr01G20570	synteny
Soltu.DM.01G024530	-	-
Soltu.DM.01G024540	DM8.2_chr01G20580	synteny
Soltu.DM.01G024550	DM8.2_chr01G20590	synteny
Soltu.DM.01G024570	-	-
Soltu.DM.01G024580	DM8.2_chr01G20620	synteny
Soltu.DM.01G024590	DM8.2_chr01G20610	synteny
Soltu.DM.01G024600	-	-
Soltu.DM.01G024620	DM8.2_chr01G20630	synteny
Soltu.DM.01G024650	-	-
Soltu.DM.01G024660	DM8.2_chr01G20640	synteny
Soltu.DM.01G024670	DM8.2_chr01G20650	synteny
Soltu.DM.01G024680	DM8.2_chr01G20660	synteny
Soltu.DM.01G024690	DM8.2_chr01G20670	synteny
Soltu.DM.01G024700	DM8.2_chr01G20680	synteny
Soltu.DM.01G024710	DM8.2_chr01G20690	synteny
Soltu.DM.01G024720	DM8.2_chr01G20700	synteny
Soltu.DM.01G024730	DM8.2_chr01G20710	synteny
Soltu.DM.01G024740	DM8.2_chr01G20720	synteny
Soltu.DM.01G024750	DM8.2_chr01G20730	synteny
Soltu.DM.01G024760	DM8.2_chr01G20740	synteny
Soltu.DM.01G024770	DM8.2_chr01G20750	synteny
Soltu.DM.01G024780	DM8.2_chr01G20760	synteny
Soltu.DM.01G024790	-	-
Soltu.DM.01G024800	-	-
Soltu.DM.01G024810	DM8.2_chr01G20780	synteny
Soltu.DM.01G024820	DM8.2_chr01G20790	synteny
Soltu.DM.01G024850	DM8.2_chr01G20830	synteny
Soltu.DM.01G024860	DM8.2_chr01G20840	synteny
Soltu.DM.01G024870	DM8.2_chr01G20850	synteny
Soltu.DM.01G024880	DM8.2_chr01G20860	synteny
Soltu.DM.01G024890	DM8.2_chr01G20870	synteny
Soltu.DM.01G024900	DM8.2_chr01G20880	synteny
Soltu.DM.01G024910	DM8.2_chr01G20890	synteny
Soltu.DM.01G024920	-	-
Soltu.DM.01G024930	DM8.2_chr01G20900	synteny
Soltu.DM.01G024940	DM8.2_chr01G20910	synteny
Soltu.DM.01G024950	DM8.2_chr01G20920	synteny
Soltu.DM.01G024960	DM8.2_chr01G20930	synteny
Soltu.DM.01G024970	DM8.2_chr06G00200	synteny
Soltu.DM.01G024980	DM8.2_chr01G20940	synteny
Soltu.DM.01G024990	DM8.2_chr01G20950	synteny
Soltu.DM.01G025000	DM8.2_chr01G20960	synteny
Soltu.DM.01G025010	DM8.2_chr01G20970	synteny
Soltu.DM.01G025020	DM8.2_chr01G20980	synteny
Soltu.DM.01G025030	DM8.2_chr01G20990	synteny
Soltu.DM.01G025040	-	-
Soltu.DM.01G025050	DM8.2_chr01G21000	synteny
Soltu.DM.01G025070	DM8.2_chr01G21020	synteny
Soltu.DM.01G025080	DM8.2_chr01G21030	synteny
Soltu.DM.01G025090	DM8.2_chr01G21040	synteny
Soltu.DM.01G025100	DM8.2_chr01G21050	synteny
Soltu.DM.01G025110	DM8.2_chr01G21060	synteny
Soltu.DM.01G025120	DM8.2_chr01G21070	synteny
Soltu.DM.01G025130	DM8.2_chr01G21080	synteny
Soltu.DM.01G025140	DM8.2_chr01G21090	synteny
Soltu.DM.01G025150	DM8.2_chr01G21100	synteny
Soltu.DM.01G025160	DM8.2_chr01G21110	synteny
Soltu.DM.01G025170	DM8.2_chr01G21120	synteny
Soltu.DM.01G025210	DM8.2_chr01G21140	synteny
Soltu.DM.01G025220	DM8.2_chr01G21160	synteny
Soltu.DM.01G025230	DM8.2_chr01G21170	synteny
Soltu.DM.01G025240	-	-
Soltu.DM.01G025250	DM8.2_chr01G21180	synteny
Soltu.DM.01G025260	DM8.2_chr01G21190	synteny
Soltu.DM.01G025270	DM8.2_chr01G21200	synteny
Soltu.DM.01G025280	DM8.2_chr01G21210	synteny
Soltu.DM.01G025290	-	-
Soltu.DM.01G025300	DM8.2_chr01G21220	synteny
Soltu.DM.01G025310	DM8.2_chr01G21230	synteny
Soltu.DM.01G025320	-	-
Soltu.DM.01G025330	DM8.2_chr01G21250	synteny
Soltu.DM.01G025350	DM8.2_chr01G21270	synteny
Soltu.DM.01G025360	DM8.2_chr01G21280	synteny
Soltu.DM.01G025380	DM8.2_chr01G21300	synteny
Soltu.DM.01G025390	DM8.2_chr01G21310	synteny
Soltu.DM.01G025400	DM8.2_chr01G21320	synteny
Soltu.DM.01G025420	DM8.2_chr01G21330	synteny
Soltu.DM.01G025430	DM8.2_chr01G21350	synteny
Soltu.DM.01G025440	DM8.2_chr01G21360	synteny
Soltu.DM.01G025460	DM8.2_chr01G21370	synteny
Soltu.DM.01G025470	-	-
Soltu.DM.01G025480	DM8.2_chr01G21380	synteny
Soltu.DM.01G025490	DM8.2_chr01G21390	synteny
Soltu.DM.01G025500	DM8.2_chr01G21400	synteny
Soltu.DM.01G025510	DM8.2_chr01G21410	synteny
Soltu.DM.01G025520	DM8.2_chr01G21420	synteny
Soltu.DM.01G025530	DM8.2_chr01G21430	synteny
Soltu.DM.01G025540	DM8.2_chr01G21440	synteny
Soltu.DM.01G025550	DM8.2_chr01G21450	synteny
Soltu.DM.01G025560	DM8.2_chr01G21460	synteny
Soltu.DM.01G025570	DM8.2_chr01G21470	synteny
Soltu.DM.01G025580	DM8.2_chr01G21480	synteny
Soltu.DM.01G025590	DM8.2_chr01G21490	synteny
Soltu.DM.01G025600	DM8.2_chr01G21500	synteny
Soltu.DM.01G025610	DM8.2_chr01G21510	synteny
Soltu.DM.01G025690	DM8.2_chr01G21550	synteny
Soltu.DM.01G025700	DM8.2_chr01G21580	synteny
Soltu.DM.01G025710	DM8.2_chr01G21590	synteny
Soltu.DM.01G025720	DM8.2_chr01G21600	synteny
Soltu.DM.01G025740	-	-
Soltu.DM.01G025750	DM8.2_chr01G21620	synteny
Soltu.DM.01G025760	DM8.2_chr01G21630	synteny
Soltu.DM.01G025770	-	-
Soltu.DM.01G025780	DM8.2_chr01G21650	synteny
Soltu.DM.01G025790	-	-
Soltu.DM.01G025800	DM8.2_chr01G21670	synteny
Soltu.DM.01G025810	DM8.2_chr01G21680	synteny
Soltu.DM.01G025820	-	-
Soltu.DM.01G025830	DM8.2_chr01G21690	synteny
Soltu.DM.01G025840	DM8.2_chr01G21700	synteny
Soltu.DM.01G025860	DM8.2_chr01G21710	synteny
Soltu.DM.01G025870	-	-
Soltu.DM.01G025880	DM8.2_chr01G21730	synteny
Soltu.DM.01G025900	DM8.2_chr01G21740	synteny
Soltu.DM.01G025920	DM8.2_chr01G21720	synteny
Soltu.DM.01G025930	-	-
Soltu.DM.01G025940	DM8.2_chr01G21800	synteny
Soltu.DM.01G025950	DM8.2_chr01G21810	synteny
Soltu.DM.01G025960	-	-
Soltu.DM.01G025970	DM8.2_chr01G21840	synteny
Soltu.DM.01G025980	DM8.2_chr01G21830	synteny
Soltu.DM.01G025990	DM8.2_chr01G21860	synteny
Soltu.DM.01G026000	DM8.2_chr01G21870	synteny
